Unnamed: 0,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons
323,Ischgl,Austria,2872,1377,52,47,142,49,238,Yes,No,13,25,7,45,88215,1200
326,Kuühtai,Austria,2520,1938,37,6,26,8,41,Yes,Yes,6,5,1,12,17254,80
337,Mayrhofen-Penken/​Ahorn/​Rastkogel/​Eggalm,Austria,2500,630,52,40,66,30,136,Yes,No,31,17,9,57,82432,286
339,Obertauern,Austria,2313,1630,46,61,35,4,100,Yes,Yes,11,18,2,31,50797,280
343,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),Austria,2096,830,53,140,112,18,270,Yes,Yes,21,22,28,71,135104,927
344,Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),Austria,2096,830,53,140,112,18,270,Yes,Yes,21,22,28,71,135104,927
348,Serfaus-Fiss-Ladis,Austria,2820,1200,49,47,123,28,198,Yes,Yes,40,16,12,68,78460,1250
351,Silvretta Montafon,Austria,2430,700,53,60,45,8,113,Yes,No,25,18,10,53,67472,330
352,Wagrain (Ski amedé),Austria,1980,740,52,30,81,4,115,Yes,No,22,16,11,49,75398,600
353,Flachau (Ski amedé),Austria,1980,740,52,30,81,4,115,Yes,No,22,16,11,49,75398,600
355,St. Anton (Ski Arlberg),Austria,2811,1270,53,130,123,51,304,Yes,No,53,45,15,113,145127,747
356,Lech (Ski Arlberg),Austria,2811,1270,53,130,123,51,304,Yes,No,53,45,15,113,145127,747
357,Zürs (Ski Arlberg),Austria,2811,1270,53,130,123,51,304,Yes,No,53,45,15,113,145127,747
358,St. Christoph (Ski Arlberg),Austria,2811,1270,53,130,123,51,304,Yes,No,53,45,15,113,145127,747
360,St. Johann in Tirol,Austria,1604,659,44,16,23,3,43,No,Yes,12,4,4,20,21100,260
361,Bad Gastein,Austria,2300,860,52,30,52,2,86,Yes,No,10,9,7,26,32699,800
363,Gargellen,Austria,2300,1423,47,20,5,2,28,Yes,No,5,3,1,9,10650,83
367,Sölden,Austria,3340,1350,53,70,44,29,144,Yes,Yes,12,16,8,36,70370,363
368,Stubai Glacier,Austria,3212,1697,46,19,15,4,38,Yes,No,14,7,5,26,39784,69
369,Elfer Neustift,Austria,2080,981,29,0,7,0,7,No,No,3,0,1,4,2980,0
376,Zauchensee,Austria,2188,1000,52,23,16,4,44,Yes,No,9,6,4,19,25988,113
