Unnamed: 0,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons
13,Kaiseregg-​Riggisalp-Schwarzsee,Switzerland,1750,1050,34,14,5,1,20,Yes,Yes,11,3,1,15,5790,46
21,Laax-​Flims-​Falera,Switzerland,3018,1100,68,88,81,19,188,Yes,No,13,9,11,33,46116,300
34,Obersaxen-​Mundaun-​Val Lumnezia,Switzerland,2310,1201,51,60,40,20,120,Yes,Yes,10,9,0,19,20720,297
36,Corvatsch-​Furtschellas,Switzerland,3303,1797,69,13,89,17,120,Yes,Yes,5,6,3,14,18510,0
39,Aletsch Arena-Riederalp-​Bettmeralp-​Fiesch Eggishorn,Switzerland,1845,759,53,42,50,12,104,Yes,Yes,18,8,12,38,41109,258
46,Parsenn (Davos Klosters),Switzerland,2844,810,61,20,60,16,96,Yes,No,4,6,8,18,26795,169
51,Adelboden-​Lenk-Chuenisbärgli-​Silleren-​Hahnenmoos-​Metsch,Switzerland,1260,1072,55,44,38,6,88,Yes,Yes,12,8,6,26,34620,500
52,Rinderberg-​Saanerslochgrat-​Horneggli-Zweisimmen-​Saanenmöser-​Schönried-​St. Stephan,Switzerland,2011,948,54,62,21,4,88,Yes,Yes,9,8,4,21,18360,0
57,Grimentz-​Zinal,Switzerland,2900,1570,51,26,28,26,80,Yes,No,13,5,3,21,19345,96
66,Titlis-Engelberg,Switzerland,3020,1000,57,34,26,12,72,Yes,No,7,6,7,20,23316,180
72,Savognin,Switzerland,2713,1200,50,32,38,0,70,Yes,Yes,10,2,1,13,14000,100
73,Scuol-Motta Naluns,Switzerland,2785,1250,50,27,32,11,70,Yes,No,6,6,1,13,18000,136
76,Flumserberg,Switzerland,665,425,51,10,38,17,65,Yes,Yes,9,8,4,21,30867,0
84,Disentis 3000,Switzerland,2833,1227,49,20,30,10,60,Yes,No,9,3,1,13,10990,4
85,Belalp-Blatten,Switzerland,3118,1322,49,20,20,20,60,Yes,No,8,3,2,13,13640,0
87,Meiringen-Hasliberg,Switzerland,1055,600,50,20,34,6,60,No,Yes,6,4,5,15,16381,75
88,Toggenburg-Wildhaus-​Unterwasser-​Alt St. Johann,Switzerland,2262,900,52,10,45,5,60,Yes,Yes,18,3,4,25,19956,55
91,Saint Luc-​Chandolin-Anniviers-,Switzerland,3025,1655,47,20,30,10,60,Yes,No,11,3,1,15,10350,104
94,Leysin,Switzerland,2205,1250,45,43,15,2,60,Yes,No,8,7,1,16,12980,72
96,Eggli-​La Videmanette-Gstaad-​Saanen-​Rougemont,Switzerland,2151,992,54,35,17,5,58,No,No,8,4,5,17,15363,0
97,Anzère,Switzerland,2420,1500,46,12,37,9,58,Yes,No,10,3,1,14,12462,120
105,Lauchernalp-Lötschental,Switzerland,3111,1419,48,20,17,18,55,Yes,No,2,2,2,6,6800,28
112,First-Grindelwald,Switzerland,2501,1050,55,30,15,8,53,Yes,No,3,3,3,9,12720,38
113,Sörenberg-Rothorn-​Dorf,Switzerland,2350,1110,44,30,15,8,53,Yes,Yes,12,3,2,17,20930,0
116,Schilthorn-Mürren-​Lauterbrunnen,Switzerland,2970,796,55,19,23,9,51,Yes,No,3,7,6,16,13852,38
118,Brigels-​Waltensburg-​Andiast,Switzerland,2418,1110,49,13,33,3,50,Yes,Yes,9,4,0,13,10030,100
121,Sedrun-Oberalp,Switzerland,2300,1500,53,10,35,5,50,Yes,No,7,5,0,12,12100,0
126,Mythenregion,Switzerland,1070,573,39,18,31,1,50,Yes,No,11,0,4,15,12592,55
135,Rigi,Switzerland,1315,439,44,4,4,0,9,No,No,4,0,3,7,6500,0
145,Pizol-Bad Ragaz-​Wangs,Switzerland,510,490,51,14,21,8,43,Yes,Yes,5,4,2,11,12786,62
155,Melchsee-Frutt-Kerns-,Switzerland,2255,1080,44,20,6,10,36,Yes,Yes,5,4,2,11,14150,110
159,Les Mosses-​La Lécherette,Switzerland,1870,1445,31,10,30,0,40,No,No,14,0,0,14,10540,0
167,Hoch-Ybrig-Unteriberg-​Oberiberg,Switzerland,1850,1035,46,15,30,5,50,Yes,No,8,5,1,14,16650,0
169,Nätschen-Andermatt,Switzerland,2344,1444,44,8,5,8,21,No,No,1,4,2,7,13600,0
212,Bürchen-​Törbel-Moosalp,Switzerland,2550,1480,39,5,15,5,25,No,Yes,8,1,0,9,7470,7
216,Bellwald,Switzerland,1600,1204,45,9,21,6,36,Yes,No,3,2,1,6,4620,26
224,Klewenalp-​Stockhütte-Beckenried-​Emmetten,Switzerland,1200,436,45,15,25,0,40,No,No,9,3,2,14,13394,0
240,Torrent-Leukerbad,Switzerland,2610,1411,46,3,26,16,47,Yes,No,8,1,5,14,11390,40
245,Diavolezza-​Lagalb,Switzerland,3006,2091,59,0,21,10,31,No,No,9,2,0,11,3970,20
255,Grächen,Switzerland,2864,1619,48,9,31,2,42,No,No,9,5,1,15,13860,0
260,Glacier 3000 / Les Diablerets,Switzerland,3016,1343,54,9,3,12,25,Yes,No,4,3,3,10,10260,0
292,Brunni - Engelberg,Switzerland,2040,1050,38,2,3,2,7,No,No,3,1,1,5,2577,0
296,Cervinia,Switzerland,3899,1562,81,75,220,27,322,Yes,No,21,22,20,63,93464,1060
299,Crans-Montana,Switzerland,1510,540,60,55,70,15,140,Yes,No,12,6,5,23,29500,0
300,Rinerhorn (Davos Klosters),Switzerland,2490,1454,48,10,22,8,40,Yes,No,6,0,1,7,6900,14
301,Jakobshorn (Davos Klosters),Switzerland,2590,1540,58,25,13,2,41,Yes,No,5,5,3,13,15800,140
302,Pischa (Davos Klosters),Switzerland,2483,1800,40,0,0,0,0,No,No,0,0,1,1,800,0
303,Madrisa (Davos Klosters),Switzerland,2611,1142,52,6,9,9,26,Yes,No,7,2,1,10,6640,9
305,St. Moritz - Corviglia,Switzerland,3057,1720,69,42,79,34,155,Yes,No,11,12,5,28,31220,170
314,Wasserngrat (Gstaad),Switzerland,1900,1275,54,3,3,2,9,No,No,0,1,0,1,900,0
315,Wispile (Gstaad),Switzerland,1941,1046,54,3,3,1,8,No,Yes,3,0,2,5,3601,0
316,Heiti - Gsteig (Gstaad),Switzerland,1370,1227,54,0,0,0,1,No,No,1,0,0,1,600,0
317,Arosa Lenzerheide,Switzerland,2865,1229,63,111,87,27,225,Yes,Yes,24,18,8,50,63936,0
318,Villars -​ Gryon / Les Diablerets,Switzerland,2120,1224,54,51,45,4,100,Yes,No,20,9,4,33,38905,0
319,Verbier (4 Vallées),Switzerland,3330,821,66,107,202,103,412,Yes,Yes,39,17,19,75,85022,0
320,Nendaz (4 Vallées),Switzerland,3330,821,66,107,202,103,412,Yes,Yes,39,17,19,75,85022,0
321,Thyon (4 Vallées),Switzerland,3330,821,66,107,202,103,412,Yes,Yes,39,17,19,75,85022,0
322,Veysonnaz (4 Vallées),Switzerland,3330,821,66,107,202,103,412,Yes,Yes,39,17,19,75,85022,0
324,Kleine Scheidegg / ​Männlichen-Grindelwald / ​Wengen,Switzerland,2320,944,55,33,56,13,102,No,No,10,10,6,26,29250,0
336,Zermatt - Matterhorn,Switzerland,3899,1562,81,75,220,27,322,Yes,No,21,22,20,63,93464,1060
345,Saas-Fee,Switzerland,3573,1800,63,20,60,20,100,Yes,No,14,2,9,25,25160,102
