Unnamed: 0,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons
27,La Molina-​Masella-Alp2500,Spain,2531,1616,45,76,47,18,141,Yes,Yes,19,13,1,33,39750,1010
62,Cerler,Spain,2621,1505,42,35,27,14,76,Yes,No,10,9,0,19,20670,0
127,Candanchú,Spain,2236,1514,41,15,18,15,50,No,No,19,6,0,25,19650,0
156,Vall de Núria,Spain,1964,912,30,4,2,1,7,No,No,3,1,2,6,4840,0
180,Port del Comte,Spain,2310,1745,33,20,15,5,40,No,No,11,5,0,16,13750,0
285,Formigal,Spain,2251,1501,44,47,70,20,137,Yes,No,9,11,0,20,29450,440
288,Baqueira / ​Beret,Spain,2510,1471,50,79,52,19,150,Yes,No,14,19,2,35,53997,629
359,Sierra Nevada-Pradollano,Spain,3282,2100,47,50,49,7,107,Yes,Yes,5,14,2,21,59205,350
