Unnamed: 0,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons
130,Jasná Nízke Tatry-Chopok,Slovakia,2004,943,39,19,17,7,44,Yes,Yes,19,8,5,32,35225,527
202,Donovaly-Park Snow-,Slovakia,1361,914,26,5,5,0,11,Yes,Yes,23,1,1,25,13620,30
227,Štrbské Pleso,Slovakia,1840,1376,35,2,5,0,8,Yes,No,5,3,0,8,7700,52
246,Kubínska hoľa,Slovakia,1396,720,26,2,10,2,14,Yes,No,2,1,2,5,11480,60
250,Tatranská Lomnica,Slovakia,2190,888,35,5,5,1,11,No,No,3,1,0,4,12480,216
