Unnamed: 0,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons
47,Åre,Sweden,1274,380,45,45,38,8,91,Yes,Yes,27,5,4,36,39000,0
129,Lindvallen-​Högfjället-Sälen-,Sweden,887,579,41,22,17,3,42,Yes,Yes,49,4,0,53,50505,0
131,Tandådalen-​Hundfjället-Sälen-,Sweden,872,572,41,18,15,12,45,Yes,Yes,42,4,0,46,42636,0
147,Stöten,Sweden,830,443,41,26,3,3,32,No,No,17,2,0,19,19250,0
149,Idre Fjäll,Sweden,890,588,40,17,22,2,41,Yes,Yes,21,4,0,25,24760,0
181,Tänndalen,Sweden,1038,743,41,20,15,3,38,No,No,15,2,0,17,19270,0
