Unnamed: 0,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons
33,Isola 2000,France,2603,1800,34,75,35,10,120,Yes,Yes,12,7,3,22,21807,430
35,Les 7 Laux-Prapoutel-​Le Pleynet-​Pipay,France,2400,1350,36,46,36,38,120,Yes,No,15,8,1,24,32232,200
42,Saint-Lary-Soulan,France,1600,812,42,60,30,10,100,Yes,Yes,17,11,3,31,38733,290
43,Orcières Merlette 1850,France,2725,1850,34,55,38,7,100,Yes,No,20,7,3,30,29605,0
44,Dévoluy-Superdévoluy-​La Joue du Loup,France,2450,1450,36,60,30,10,100,Yes,No,18,5,1,24,27646,180
45,Grand Tourmalet-​Pic du Midi-La Mongie-​Barèges,France,2500,1250,42,58,35,7,100,Yes,No,21,15,2,38,40231,0
49,Chamrousse,France,2250,1400,34,45,35,10,90,Yes,Yes,8,7,1,16,24398,78
50,Valberg-​Beuil les Launes,France,2020,1412,32,45,35,10,90,Yes,No,22,7,0,29,25940,400
54,Les Portes du Mont-Blanc-Combloux-​Megève le Jaillet-​La Giettaz,France,1835,1113,35,28,50,7,85,No,No,16,8,1,25,29842,0
55,Le Grand Bornand,France,2100,1000,37,49,27,8,84,Yes,Yes,18,13,2,33,36904,233
59,Ax les Thermes,France,1400,720,37,40,25,15,80,Yes,No,11,6,2,19,21320,0
64,Puy St. Vincent,France,2677,1407,34,28,34,13,75,Yes,Yes,4,8,0,12,17155,95
71,Valfréjus,France,2737,1550,29,40,20,10,70,Yes,No,5,4,1,10,15800,80
75,Piau Engaly,France,2560,1420,37,35,22,8,65,Yes,No,5,5,0,10,13615,40
77,Super Sauze,France,2450,1400,30,35,20,10,65,Yes,No,18,4,0,22,17948,100
79,La Norma,France,2750,1350,29,17,43,5,65,Yes,No,7,5,1,13,13290,126
90,Le Lioran,France,1850,1160,31,30,20,10,60,Yes,Yes,13,8,1,22,25195,241
92,Les Karellis,France,2520,1600,27,26,25,9,60,Yes,No,10,6,0,16,17452,98
93,Peyragudes,France,2400,1600,40,30,26,4,60,Yes,No,8,9,0,17,22791,230
99,Font-Romeu-​Bolquère Pyrénées 2000,France,2213,1650,38,30,19,9,58,Yes,No,15,8,1,24,27378,535
101,Brévent-​Flégère-Chamonix-,France,2525,1030,51,11,25,20,56,Yes,No,6,8,5,19,26734,0
102,Les Houches-​Saint-Gervais-Prarion-​Bellevue-Chamonix-,France,1000,584,43,25,25,5,55,Yes,No,5,8,3,16,19859,133
108,Alpe du Grand-Serre-La Morte,France,2184,1367,27,36,17,2,55,Yes,No,12,3,0,15,13486,0
109,Les Angles,France,2376,1600,38,22,23,10,55,Yes,Yes,15,4,1,20,21787,363
111,Aussois,France,2750,1500,29,30,22,3,55,Yes,No,4,4,0,8,9228,130
123,Hirmentaz-​Les Habères-Bellevaux-​Habère-Poche,France,1610,923,24,30,17,3,50,Yes,No,27,6,0,33,29480,0
125,Porté Puymorens,France,2471,1600,30,21,20,9,50,Yes,No,5,4,0,9,7380,70
136,Métabief,France,1420,1000,26,19,18,2,40,No,No,20,8,0,28,24745,0
139,Praz de Lys-​Sommand-Taninges-​Mieussy-,France,1966,1240,29,22,16,6,45,Yes,No,18,6,0,24,26205,60
140,Espace Dôle-La Dôle-​Les Tuffes,France,1678,1137,27,17,8,2,28,Yes,No,18,3,0,21,19380,0
