Unnamed: 0,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons
143,Aiguille du Midi-Chamonix-,France,3842,1035,60,0,0,0,0,No,No,0,0,5,5,4820,0
146,SuperBesse-Puy de Sancy,France,1850,1300,32,30,9,4,43,Yes,Yes,16,5,1,22,21245,299
157,Arêches-Beaufort-,France,2300,1050,29,15,20,15,50,Yes,No,9,5,0,14,14462,45
161,Luchon Superbagnères,France,1440,635,34,16,10,6,32,Yes,No,7,5,1,13,15965,180
162,Lélex-​Crozet,France,900,640,28,16,7,4,28,Yes,No,15,2,2,19,16750,120
165,Gourette-Eaux Bonnes-,France,2450,1350,38,18,13,4,35,Yes,No,4,5,3,12,19660,158
170,Albiez-Montrond,France,2200,1500,25,25,7,3,35,No,No,8,5,0,13,10432,0
179,St. Jean Montclar,France,2500,1350,28,25,20,5,50,No,No,10,4,0,14,13320,0
213,Guzet,France,2100,1100,31,20,14,6,40,Yes,No,11,4,0,15,11130,100
231,La Bresse-Hohneck,France,1350,872,29,13,7,1,21,No,Yes,12,6,0,18,21515,300
249,Molines-en-Queyras-​Saint-Véran,France,2800,1750,29,20,12,1,33,No,No,9,5,0,14,12290,0
256,Puigmal,France,2700,1830,0,9,15,7,32,No,No,11,2,0,13,11865,0
262,Les Arcs /​ Peisey-Vallandry (Paradiski),France,3226,1200,50,104,70,26,200,Yes,Yes,17,27,8,52,82641,793
263,Tignes - ​Val d'Isère,France,3456,1550,56,170,78,52,300,Yes,No,33,42,11,86,145461,848
265,Courchevel (Les 3 Vallées),France,3230,1110,61,312,216,72,600,Yes,Yes,62,63,40,165,250860,2383
266,Les Gets (Les Portes du Soleil),France,2466,1000,51,310,210,60,580,Yes,Yes,89,74,11,174,252280,1074
267,Avoriaz (Les Portes du Soleil),France,2466,1000,51,310,210,60,580,Yes,Yes,89,74,11,174,252280,1074
268,Châtel (Les Portes du Soleil),France,2466,1000,51,310,210,60,580,Yes,Yes,89,74,11,174,252280,1074
281,Saint Martin de Belleville (Les 3 Vallées),France,3230,1110,61,312,216,72,600,Yes,Yes,62,63,40,165,250860,2383
282,La Plagne (Paradiski),France,3167,1207,50,139,59,27,225,Yes,No,56,32,12,100,136733,417
284,Alpe d'Huez,France,3330,1125,51,70,130,50,250,Yes,Yes,27,21,20,68,92097,963
290,Bonneval sur Arc,France,3000,1850,28,13,11,1,25,No,No,8,3,0,11,8213,0
294,Le Lys - Cauterets,France,1360,932,37,21,12,3,36,Yes,No,6,4,1,11,13038,0
295,Pont d'Espagne - Cauterets,France,1756,1516,35,3,1,0,4,No,No,2,1,1,4,4150,0
297,Grands Montets-Argentière (Chamonix),France,3275,1252,62,6,9,14,29,Yes,No,1,4,4,9,15756,0
298,Balme-​Les Autannes-Vallorcine-​Le Tour,France,2270,1453,51,13,16,0,29,Yes,No,8,2,2,12,14860,0
306,Espace Diamant-Les Saisies/​Notre-Dame-de-Bellecombe/​Praz sur Arly/​Flumet/​Crest-Voland,France,2069,1000,40,132,49,11,192,Yes,Yes,53,30,0,83,90852,472
313,Gresse en Vercors,France,1751,1245,19,8,7,5,20,Yes,No,10,1,0,11,6808,51
327,La Grave - La Meije,France,3534,1470,49,3,0,0,3,No,No,1,0,2,3,1460,0
328,Espace San Bernardo – La Rosière/​La Thuile,France,2641,1176,43,55,83,22,160,Yes,No,21,18,1,40,53669,0
330,La Tania-Val Thorens/​Les Menuires/​Méribel (Les 3 Vallées),France,3230,1110,61,312,216,72,600,Yes,Yes,62,63,40,165,250860,2383
332,Les Deux alpes,France,3560,1280,49,110,56,34,200,Yes,Yes,26,21,7,54,72334,224
333,Les Contamines-​Hauteluce,France,2437,1164,39,40,60,20,120,No,Yes,12,8,4,24,33972,0
334,Les Orres,France,2720,1550,35,30,60,10,100,Yes,No,11,9,0,20,21020,190
346,Sainte-Foy-Tarentaise,France,2620,1550,31,10,25,6,41,No,No,2,4,0,6,7100,10
349,Serre Chevalier-Briançon/​Chantemerle/​Villeneuve-la-Salle/​Le Monêtier-les-Bains,France,2800,1200,49,138,80,32,250,Yes,Yes,33,21,7,61,72066,575
371,Val Thorens (Les 3 Vallées),France,3230,1110,61,312,216,72,600,Yes,Yes,62,63,40,165,250860,2383
372,Montgenèvre (Via Lattea),France,2749,1372,48,96,220,84,400,No,Yes,29,35,7,71,96433,0
