Unnamed: 0,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons
217,Dry slopes Dayz Søhøjlandets Skicenter,Denmark,100,80,36,0,0,0,0,no report,No,0,0,0,0,0,0
218,Indoor ski area Skidome Denmark – Randers (planned),Denmark,120,10,0,1,1,1,3,no report,No,0,0,0,0,0,0
219,Dry slopes Indoorski – Rødovre,Denmark,53,50,0,0,0,0,0,no report,No,0,0,0,0,0,0
220,Dry slopes Ski Arena – Aarhus,Denmark,23,20,0,0,0,0,0,no report,No,0,0,0,0,0,0
221,Copenhagen (planned),Denmark,0,0,0,0,0,0,0,no report,No,0,0,0,0,0,0
222,Østerlars (Bornholm),Denmark,110,72,18,0,0,0,0,no report,No,0,0,0,0,1220,0
223,Hoch Hylkedal – Kolding,Denmark,45,20,15,0,0,0,0,no report,No,0,0,0,0,600,0
342,Hedelands Skicenter,Denmark,78,33,17,0,0,0,0,no report,No,0,0,0,0,1600,4
